POOL_ID,BLOCK_ID,IO_FIX,IS_OLD,SPACE,DATA_SIZE,FIX_COUNT,IS_HASHED,PAGE_TYPE,FLUSH_TYPE,INDEX_NAME,PAGE_STATE,TABLE_NAME,ACCESS_TIME,PAGE_NUMBER,NUMBER_RECORDS,COMPRESSED_SIZE,FREE_PAGE_CLOCK,NEWEST_MODIFICATION,OLDEST_MODIFICATION
0,44,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35373,325,0,0,0,1832114,0
0,45,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35373,63,0,0,0,1832387,0
0,46,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35373,326,0,0,0,1832387,0
0,47,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35373,192,0,0,0,1832699,0
0,48,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35373,327,0,0,0,1832699,0
0,49,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35373,193,0,0,0,1833011,0
0,50,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35373,328,0,0,0,1833011,0
0,51,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35373,194,0,0,0,1833307,0
0,52,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35373,329,0,0,0,1833307,0
0,53,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35373,195,0,0,0,1833393,0
0,54,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35373,330,0,0,0,1833393,0
0,55,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35373,196,0,0,0,1833705,0
0,56,IO_NONE,NO,0,0,0,NO,UNDO_LOG,1,NULL,FILE_PAGE,NULL,35374,331,0,0,0,1833705,0
0,57,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,197,0,0,0,1833749,0
0,58,IO_NONE,NO,0,0,0,NO,SYSTEM,1,NULL,FILE_PAGE,NULL,35374,198,0,0,0,1834061,0
