LOAD_OPTION,PLUGIN_NAME,PLUGIN_TYPE,PLUGIN_AUTHOR,PLUGIN_STATUS,PLUGIN_LIBRARY,PLUGIN_LICENSE,PLUGIN_VERSION,PLUGIN_MATURITY,PLUGIN_DESCRIPTION,PLUGIN_AUTH_VERSION,PLUGIN_TYPE_VERSION,PLUGIN_LIBRARY_VERSION
ON,INNODB_SYS_SEMAPHORE_WAITS,INFORMATION SCHEMA,MariaDB Corporation,ACTIVE,NULL,GPL,10.3,Stable,InnoDB SYS_SEMAPHORE_WAITS,10.3.24,100324.0,NULL
ON,INNODB_TABLESPACES_ENCRYPTION,INFORMATION SCHEMA,Google Inc,ACTIVE,NULL,BSD,10.3,Stable,InnoDB TABLESPACES_ENCRYPTION,10.3.24,100324.0,NULL
ON,INNODB_TABLESPACES_SCRUBBING,INFORMATION SCHEMA,Google Inc,ACTIVE,NULL,BSD,10.3,Stable,InnoDB TABLESPACES_SCRUBBING,10.3.24,100324.0,NULL
ON,Aria,STORAGE ENGINE,Monty Program Ab,ACTIVE,NULL,GPL,1.5,Stable,Crash-safe tables with MyISAM heritage,1.5,100324.0,NULL
FORCE,PERFORMANCE_SCHEMA,STORAGE ENGINE,"Marc Alff, Oracle",ACTIVE,NULL,GPL,0.1,Stable,Performance Schema,5.6.40,100324.0,NULL
ON,SEQUENCE,STORAGE ENGINE,Sergei Golubchik,ACTIVE,NULL,GPL,1.0,Stable,Generated tables filled with sequential values,0.1,100324.0,NULL
ON,unix_socket,AUTHENTICATION,Sergei Golubchik,ACTIVE,NULL,GPL,1.0,Stable,Unix Socket based authentication,1.0,2.1,NULL
OFF,FEEDBACK,INFORMATION SCHEMA,Sergei Golubchik,DISABLED,NULL,GPL,1.1,Stable,MariaDB User Feedback Plugin,1.1,100324.0,NULL
ON,user_variables,INFORMATION SCHEMA,Sergey Vojtovich,ACTIVE,NULL,GPL,1.0,Stable,User-defined variables,1.0,100324.0,NULL
ON,partition,STORAGE ENGINE,"Mikael Ronstrom, MySQL AB",ACTIVE,NULL,GPL,1.0,Stable,Partition Storage Engine Helper,1.0,100324.0,NULL
OFF,ed25519,AUTHENTICATION,Sergei Golubchik,NOT INSTALLED,auth_ed25519.so,GPL,1.0,Stable,Elliptic curve ED25519 based authentication,1.0,2.1,1.13
OFF,pam,AUTHENTICATION,Sergei Golubchik,NOT INSTALLED,auth_pam.so,GPL,1.0,Stable,PAM based authentication,1.0,2.1,1.13
OFF,QUERY_CACHE_INFO,INFORMATION SCHEMA,"Roland Bouman, Daniel Black",NOT INSTALLED,query_cache_info.so,BSD,1.1,Stable,Lists all queries in the query cache.,1.1,100324.0,1.13
OFF,METADATA_LOCK_INFO,INFORMATION SCHEMA,Kentoku Shiba,NOT INSTALLED,metadata_lock_info.so,GPL,0.1,Stable,Metadata locking viewer,NULL,100324.0,1.13
