db,body,name,type,comment,created,definer,modified,sql_mode,returns,aggregate,body_utf8,language,param_list,db_collation,security_type,specific_name,sql_data_access,is_deterministic,character_set_client,collation_connection
mysql,"begin\n  set @qwe= concat('ALTER TABLE ', t_schema, '.', t_name, ' ADD ', geometry_column,' GEOMETRY REF_SYSTEM_ID=', t_srid); PREPARE ls from @qwe; execute ls; deallocate prepare ls; end",AddGeometryColumn,PROCEDURE,<blank>,2020-10-26 15:55:29,root@localhost,2020-10-26 15:55:29,<blank>,<blank>,NONE,"begin\n  set @qwe= concat('ALTER TABLE ', t_schema, '.', t_name, ' ADD ', geometry_column,' GEOMETRY REF_SYSTEM_ID=', t_srid); PREPARE ls from @qwe; execute ls; deallocate prepare ls; end",SQL,"catalog varchar(64), t_schema varchar(64),\n   t_name varchar(64), geometry_column varchar(64), t_srid int",utf8mb4_general_ci,INVOKER,AddGeometryColumn,CONTAINS_SQL,NO,utf8,utf8_general_ci
mysql,"begin\n  set @qwe= concat('ALTER TABLE ', t_schema, '.', t_name, ' DROP ', geometry_column); PREPARE ls from @qwe; execute ls; deallocate prepare ls; end",DropGeometryColumn,PROCEDURE,<blank>,2020-10-26 15:55:29,root@localhost,2020-10-26 15:55:29,<blank>,<blank>,NONE,"begin\n  set @qwe= concat('ALTER TABLE ', t_schema, '.', t_name, ' DROP ', geometry_column); PREPARE ls from @qwe; execute ls; deallocate prepare ls; end",SQL,"catalog varchar(64), t_schema varchar(64),\n   t_name varchar(64), geometry_column varchar(64)",utf8mb4_general_ci,INVOKER,DropGeometryColumn,CONTAINS_SQL,NO,utf8,utf8_general_ci

