CHECKSUM,DATA_FREE,NODEGROUP,CHECK_TIME,TABLE_NAME,TABLE_ROWS,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,AVG_ROW_LENGTH,PARTITION_NAME,MAX_DATA_LENGTH,TABLESPACE_NAME,PARTITION_METHOD,PARTITION_COMMENT,SUBPARTITION_NAME,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
NULL,0,<blank>,NULL,SESSION_VARIABLES,0,2020-11-12 00:33:34,0,NULL,0,information_schema,def,6340,NULL,16762960,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,STATISTICS,0,2020-11-12 00:33:34,0,NULL,0,information_schema,def,5753,NULL,16752736,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,SYSTEM_VARIABLES,0,2020-11-12 00:33:34,8192,2020-11-12 00:33:34,8192,information_schema,def,0,NULL,4503599627288576,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,TABLES,0,2020-11-12 00:33:34,0,NULL,0,information_schema,def,14841,NULL,16755489,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,TABLESPACES,0,2020-11-12 00:33:34,0,NULL,0,information_schema,def,6951,NULL,16772763,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,TABLE_CONSTRAINTS,0,2020-11-12 00:33:34,0,NULL,0,information_schema,def,2504,NULL,16721712,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,TABLE_PRIVILEGES,0,2020-11-12 00:33:34,0,NULL,0,information_schema,def,2700,NULL,16750800,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,TRIGGERS,0,2020-11-12 00:33:34,8192,2020-11-12 00:33:34,8192,information_schema,def,0,NULL,4503599627288576,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,USER_PRIVILEGES,0,2020-11-12 00:33:34,0,NULL,0,information_schema,def,2314,NULL,16732534,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,VIEWS,0,2020-11-12 00:33:34,8192,2020-11-12 00:33:34,8192,information_schema,def,0,NULL,4503599627288576,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,GEOMETRY_COLUMNS,0,2020-11-12 00:33:34,0,NULL,0,information_schema,def,4244,NULL,16759556,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,SPATIAL_REF_SYS,0,2020-11-12 00:33:34,0,NULL,0,information_schema,def,7691,NULL,16758689,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,CLIENT_STATISTICS,0,2020-11-12 00:33:34,0,NULL,0,information_schema,def,386,NULL,16520414,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INDEX_STATISTICS,0,2020-11-12 00:33:34,0,NULL,0,information_schema,def,1743,NULL,16765917,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_SYS_DATAFILES,0,2020-11-12 00:33:34,0,NULL,0,information_schema,def,12007,NULL,16773779,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,USER_STATISTICS,0,2020-11-12 00:33:34,0,NULL,0,information_schema,def,567,NULL,16747479,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_SYS_TABLESTATS,0,2020-11-12 00:33:34,0,NULL,0,information_schema,def,1215,NULL,16763355,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_LOCKS,0,2020-11-12 00:33:34,0,NULL,0,information_schema,def,31244,NULL,16746784,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_MUTEXES,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,24017,NULL,16763866,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_CMPMEM,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,29,NULL,15204352,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,0,<blank>,NULL,INNODB_CMP_PER_INDEX,0,2020-11-12 00:33:35,0,NULL,0,information_schema,def,1755,NULL,16728660,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL,NULL
