Db,Host,User,Drop_priv,Alter_priv,Event_priv,Grant_priv,Index_priv,Create_priv,Delete_priv,Insert_priv,Select_priv,Update_priv,Execute_priv,Trigger_priv,Show_view_priv,References_priv,Create_view_priv,Lock_tables_priv,Alter_routine_priv,Create_routine_priv,Delete_history_priv,Create_tmp_table_priv
test,%,<blank>,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y
test\\_%,%,<blank>,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y

